IWS,OpenCV,NIWS,HIGRA,DIFT,Pixel Visited
76.3285,154.739,75.8417,1239.441967,600.210876,3145728
60.1295,151.183,77.7129,1230.702233,602.532349,2607545
36.2392,151.514,78.7023,1236.723483,611.847778,1524940
4.56885,156.001,78.7961,1223.253846,603.719604,131654
3.69638,150.381,79.6008,1226.329112,612.249878,86460
1.89766,150.509,78.6878,1225.822401,210.776199,11819
33.3385,155.211,79.6378,1217.030132,602.979614,1419059
28.4325,153.254,79.4543,1216.459382,606.248291,1201672
29.4059,152.813,79.6237,1217.130089,609.519897,1244752
31.4822,152.596,80.0234,1214.994955,605.367065,1316284
31.3476,155.462,81.1997,1206.471789,603.561707,1251355
3.36362,156.815,80.9255,1203.978515,208.69548,51307
14.3951,157.903,81.4982,1203.677285,602.747925,592057
14.5352,155.092,81.7175,1206.57829,605.302429,603164
12.8004,156.143,81.5322,1207.40118,606.854248,523284
10.9689,155.092,81.7414,1205.414617,607.06543,442194
20.8562,157.462,82.3645,1202.339113,614.344849,871745
4.24628,157.817,82.5619,1206.12421,606.756958,108205
2.91011,156.687,82.8093,1200.713038,610.440063,53667
8.3258,158.445,83.0636,1201.692748,608.405518,263811
4.67629,157.392,83.1058,1209.712005,603.283386,123273
3.14471,159.248,83.0788,1202.677476,609.145203,62874
5.68728,156.354,83.1658,1205.615175,608.885071,188101
7.10519,156.997,83.2549,1212.183738,604.491028,222017
4.93928,157.462,83.4175,1212.505162,605.390015,127213
3.24041,158.745,83.4675,1213.482535,209.549103,59374
